CHROM	GeneStart	GeneEnd	GeneName	TargetID	R2	BETA	BETA_SE	T_STAT	PVALUE	N
2	201717732	201729422	CLK1	ENSG00000013441.11	0.11104582458885659	32.21727782967902	31.22936934726321	1.031633955570172	0.3043183625052965	128
2	241375088	241407493	GPC1	ENSG00000063660.4	0.1040420542074122	0.4840013135975143	1.4095787402803193	0.34336592895921675	0.7319240241573002	128
2	74753772	74756503	AUP1	ENSG00000115307.12	0.10387060392945513	2.4268912200007358	7.877240855994121	0.3080889951656122	0.7585487535458381	128
2	242088991	242123067	PPP1R7	ENSG00000115685.10	0.12333146051662902	135.4309097685136	81.50707590335091	1.6615846939363186	0.0992064305268335	128
2	202241930	202316302	TRAK2	ENSG00000115993.7	0.10896152418913563	1.391771200177027	1.5747833682519514	0.8837858134874307	0.3785790714292496	128
2	71409869	71454213	PAIP2B	ENSG00000124374.8	0.10968676773178543	0.27852265041687674	0.29699645916197426	0.9377978821793886	0.3502319486327147	128
2	241653181	241759725	KIF1A	ENSG00000130294.10	0.10851839904358096	0.3451419601240755	0.40645991285004435	0.8491414508849955	0.3974934027793666	128
2	158175137	158184225	ERMN	ENSG00000136541.10	0.10553076634211755	5.74319920675986	10.187418842497117	0.5637541064672766	0.5739735278439771	128
2	159313476	159539391	PKP4	ENSG00000144283.17	0.10639890071999447	13.731831633439544	20.827150982997324	0.6593235745325805	0.5109513019545093	128
2	73481810	73511559	FBXO41	ENSG00000163013.7	0.11040152002039438	26.520991755901967	26.8370328535469	0.9882236944982103	0.3250315213400392	128
2	74119441	74146992	ACTG2	ENSG00000163017.9	0.10480728522666627	-0.30040406272818226	0.639621518554568	-0.4696590937200527	0.6394509128631367	128
2	242254515	242293442	2-Sep	ENSG00000168385.13	0.105058905778189	-31.711541044309016	62.874600291002686	-0.50436171200355	0.6149320572756029	128
2	242498136	242513546	BOK	ENSG00000176720.3	0.13107499538517076	2.6179234547331895	1.333375561497307	1.9633804085875146	0.05191498435596761	128
2	74588281	74619115	DCTN1	ENSG00000204843.8	0.13199311415144033	0.6929785649470995	0.3471029869663224	1.996463847815679	0.048147141198226225	128
