CHROM	GeneStart	GeneEnd	TargetID	GeneName	snp_size	effect_snp_size	sample_size	5-fold-CV-R2	TrainPVALUE	Train-R2
1	196621008	196716634	ENSG00000000971.11	CFH	4515	4515	1	0.0199428494767518	1.0784428435697723e-05	0.1429946178126772
1	24683489	24743424	ENSG00000001460.13	STPG1	4881	4881	1	0.07540559132278805	6.941459807243054e-18	0.4464365030291153
1	24745781	24799466	ENSG00000001461.12	NIPAL3	4829	4829	1	0.023681967633484756	1.2158199755702357e-10	0.28118816343336595
1	23345941	23410182	ENSG00000004487.11	KDM1A	5205	5205	1	0.040408504332817105	1.6024225441295743e-16	0.4184433378636945
1	24104895	24114722	ENSG00000057757.5	PITHD1	4740	4740	1	0.06879960513366223	5.514307024564631e-13	0.3392525275786147
1	111743393	111786062	ENSG00000064886.9	CHI3L2	4785	4785	1	0.07106342665170842	8.115872727859777e-11	0.28569932993066227
1	22379120	22419437	ENSG00000070831.11	CDC42	3166	3166	1	0.022698979867715807	9.836439622944024e-12	0.3088238103264901
1	24018269	24022915	ENSG00000142676.8	RPL11	4769	4769	1	0.04699048840267679	1.0283200808516335e-13	0.3563925322478242
1	169074935	169101768	ENSG00000143153.8	ATP1B1	9405	9405	1	0.08694232619505667	2.488589557289993e-19	0.4746756016689636
1	198126093	198291550	ENSG00000151414.10	NEK7	852	852	1	0.06321646323942456	0.000910389038580488	0.08392587113301253
1	113243728	113250056	ENSG00000155366.12	RHOC	5027	5027	1	0.09345759629013521	4.5787590061890766e-10	0.26620088849122403
