CHROM	GeneStart	GeneEnd	TargetID	Zscore	Pvalue
1	196621008	196716634	ENSG00000000971.11	-0.0969895339003399	0.9227347060002153
1	24683489	24743424	ENSG00000001460.13	0.06440827576303697	0.9486451406052497
1	24745781	24799466	ENSG00000001461.12	0.0341153059141478	0.9727852032351919
1	23345941	23410182	ENSG00000004487.11	-0.3990706812246109	0.6898411246283195
1	24104895	24114722	ENSG00000057757.5	-0.25906511491069156	0.7955850004043222
1	111743393	111786062	ENSG00000064886.9	0.28735945922707185	0.7738370995401086
1	22379120	22419437	ENSG00000070831.11	-0.30497135507204787	0.7603879690453408
1	24018269	24022915	ENSG00000142676.8	-0.21083848707151578	0.833013305186566
1	169074935	169101768	ENSG00000143153.8	0.13006042547153326	0.8965186200075037
1	167885967	167906278	ENSG00000143158.6	0.16243210478811249	0.870965590566323
1	167905279	168045081	ENSG00000143164.11	0.0772658044243627	0.9384120936729494
1	198126093	198291550	ENSG00000151414.10	-0.19537880871059984	0.8450964051216084
1	113243728	113250056	ENSG00000155366.12	0.018400227957968866	0.9853195705899798
