CHROM	GeneStart	GeneEnd	GeneName	TargetID	R2	BETA	BETA_SE	T_STAT	PVALUE	N
1	196621008	196716634	CFH	ENSG00000000971.11	0.10338245382663447	0.9557295745189229	5.561180855594559	0.1718573086069404	0.8638391960441714	128
1	24683489	24743424	STPG1	ENSG00000001460.13	0.10796830369802934	6.658951074327594	8.281128880149868	0.8041115131403538	0.4229226889479051	128
1	24745781	24799466	NIPAL3	ENSG00000001461.12	0.11826096913709183	17.550862079882815	12.243369849124159	1.433499297674025	0.15431561246981337	128
1	23345941	23410182	KDM1A	ENSG00000004487.11	0.1096077458287521	2.346065485005478	2.517074113099022	0.9320605510963687	0.35317671124341343	128
1	24104895	24114722	PITHD1	ENSG00000057757.5	0.11301615105886831	0.6791044008928246	0.5881514838567459	1.1546419919570106	0.2505312366440938	128
1	111743393	111786062	CHI3L2	ENSG00000064886.9	0.10433539574059614	-14.087746854063578	35.52708774231384	-0.39653536918773796	0.6924143940669493	128
1	22379120	22419437	CDC42	ENSG00000070831.11	0.10462230495811531	0.7559145068793904	1.7085585149306037	0.4424282225476447	0.6589757711801254	128
1	24018269	24022915	RPL11	ENSG00000142676.8	0.10317079266314755	-0.01142722612638114	0.32895898133600926	-0.03473754107570331	0.9723467422880938	128
1	169074935	169101768	ATP1B1	ENSG00000143153.8	0.15735563233139627	0.7708797345831029	0.27748731351194733	2.7780719948118002	0.006348154954507841	128
1	198126093	198291550	NEK7	ENSG00000151414.10	0.12581718825284394	-18.932695611144318	10.735862989479887	-1.7635001144944322	0.08036136989831572	128
1	113243728	113250056	RHOC	ENSG00000155366.12	0.14288257169850938	-118.47249629322513	50.23866615616099	-2.358193506271988	0.01998103929411111	128
