CHROM	GeneStart	GeneEnd	TargetID	Zscore	Pvalue
2	201717732	201729422	ENSG00000013441.11	-0.537577861809026	0.5908685173729464
2	241375088	241407493	ENSG00000063660.4	0.1953933602292357	0.8450850142061499
2	74753772	74756503	ENSG00000115307.12	-0.28871001155447323	0.7728033006983024
2	242088991	242123067	ENSG00000115685.10	0.1981075782305991	0.8429608957722966
2	202241930	202316302	ENSG00000115993.7	-0.5318930947855804	0.5948000401087725
2	71409869	71454213	ENSG00000124374.8	-0.15072443662853202	0.8801930958092732
2	241653181	241759725	ENSG00000130294.10	0.19808996444680047	0.8429746764693901
2	158175137	158184225	ENSG00000136541.10	-0.3559130331600051	0.7219056950343594
2	159313476	159539391	ENSG00000144283.17	-0.10084592313446417	0.9196727712442079
2	73481810	73511559	ENSG00000163013.7	-0.09259920665295339	0.9262219740407577
2	74119441	74146992	ENSG00000163017.9	-0.17817833107279796	0.858582926713413
2	242254515	242293442	ENSG00000168385.13	0.1981075782305991	0.8429608957722966
2	242498136	242513546	ENSG00000176720.3	0.05501583025756163	0.9561258521712629
2	74588281	74619115	ENSG00000204843.8	-0.1847273421890878	0.8534428992794086
